tcp_stream,mss_negotiated,ch_tcp_bytes,sh_tcp_bytes,ch_packets,sh_packets,handshake_duration_ms,crypto_cost_ratio_sh_over_ch,has_ch,has_sh,has_end_heuristic,handshake_complete
349,1460,1383,3572,1,1,14441.554,2.582791,1,1,1,1
350,1460,1383,3572,1,1,16954.540,2.582791,1,1,1,1
351,1460,1383,3572,1,1,16960.379,2.582791,1,1,1,1
352,1460,1383,3572,1,1,16949.779,2.582791,1,1,1,1
353,1460,1383,3572,1,1,16956.451,2.582791,1,1,1,1
354,1460,1383,3572,1,1,16953.252,2.582791,1,1,1,1
355,1460,1383,3572,1,1,16949.873,2.582791,1,1,1,1
356,1460,1383,3572,1,1,16942.886,2.582791,1,1,1,1
357,1460,1383,3572,1,1,16945.997,2.582791,1,1,1,1
358,1460,1383,3572,1,1,16946.863,2.582791,1,1,1,1
359,1460,1383,3572,1,1,16275.788,2.582791,1,1,1,1
360,1460,1383,3572,1,1,16950.081,2.582791,1,1,1,1
361,1460,1383,3572,1,1,14112.340,2.582791,1,1,1,1
362,1460,1383,3572,1,1,16927.898,2.582791,1,1,1,1
363,1460,1383,3572,1,1,16927.772,2.582791,1,1,1,1
364,1460,1383,3572,1,1,16932.149,2.582791,1,1,1,1
365,1460,1383,3572,1,1,14537.332,2.582791,1,1,1,1
366,1460,1383,3572,1,1,16940.270,2.582791,1,1,1,1
367,1460,1383,3572,1,1,16921.401,2.582791,1,1,1,1
368,1460,1383,3572,1,1,16132.949,2.582791,1,1,1,1
369,1460,1383,3572,1,1,16133.481,2.582791,1,1,1,1
370,1460,1383,3572,1,1,16879.882,2.582791,1,1,1,1
371,1460,1383,3572,1,1,16880.521,2.582791,1,1,1,1
372,1460,1383,3572,1,1,15243.450,2.582791,1,1,1,1
373,1460,1383,3572,1,1,16854.597,2.582791,1,1,1,1
374,1460,1383,3572,1,1,16860.662,2.582791,1,1,1,1
375,1460,1383,3572,1,1,16866.339,2.582791,1,1,1,1
376,1460,1383,3572,1,1,16861.935,2.582791,1,1,1,1
377,1460,1383,3572,1,1,16865.312,2.582791,1,1,1,1
378,1460,1383,3572,1,1,13090.438,2.582791,1,1,1,1
379,1460,1383,3572,1,1,16870.945,2.582791,1,1,1,1
380,1460,1383,3572,1,1,16875.897,2.582791,1,1,1,1
381,1460,1383,3572,1,1,16871.775,2.582791,1,1,1,1
382,1460,1383,3572,1,1,16875.831,2.582791,1,1,1,1
383,1460,1383,3572,1,1,16879.812,2.582791,1,1,1,1
384,1460,1383,3572,1,1,16878.462,2.582791,1,1,1,1
385,1460,1383,3572,1,1,16876.518,2.582791,1,1,1,1
386,1460,1383,3572,1,1,16878.153,2.582791,1,1,1,1
387,1460,1383,3572,1,1,16879.187,2.582791,1,1,1,1
388,1460,1383,3572,1,1,16881.532,2.582791,1,1,1,1
389,1460,1383,3572,1,1,16882.733,2.582791,1,1,1,1
390,1460,1383,3572,1,1,16880.565,2.582791,1,1,1,1
391,1460,1383,3572,1,1,16878.712,2.582791,1,1,1,1
392,1460,1383,3572,1,1,16884.516,2.582791,1,1,1,1
393,1460,1383,3572,1,1,16883.188,2.582791,1,1,1,1
394,1460,1383,3572,1,1,16887.822,2.582791,1,1,1,1
395,1460,1383,3572,1,1,16885.749,2.582791,1,1,1,1
396,1460,1383,3572,1,1,16890.206,2.582791,1,1,1,1
397,1460,1383,3572,1,1,16896.545,2.582791,1,1,1,1
398,1460,1383,3572,1,1,16893.238,2.582791,1,1,1,1
399,1460,1383,3572,1,1,16887.284,2.582791,1,1,1,1
400,1460,1383,3572,1,1,16885.689,2.582791,1,1,1,1
401,1460,1383,3572,1,1,16887.036,2.582791,1,1,1,1
402,1460,1383,3572,1,1,16889.733,2.582791,1,1,1,1
403,1460,1383,3572,1,1,16888.916,2.582791,1,1,1,1
404,1460,1383,3572,1,1,16894.050,2.582791,1,1,1,1
405,1460,1383,3572,1,1,16896.490,2.582791,1,1,1,1
406,1460,1383,3572,1,1,16899.460,2.582791,1,1,1,1
407,1460,1383,3572,1,1,16897.557,2.582791,1,1,1,1
408,1460,1383,3572,1,1,14561.009,2.582791,1,1,1,1
409,1460,1383,3572,1,1,16878.651,2.582791,1,1,1,1
410,1460,1383,3572,1,1,16880.975,2.582791,1,1,1,1
